"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2025-11-05T00:00:00.000","25","CUNDINAMARCA","25754","SOACHA","0.03","KILOGRAMO"
"2025-11-05T00:00:00.000","52","NARIÑO","52110","BUESACO","0.21","KILOGRAMO"
"2025-11-04T00:00:00.000","19","CAUCA","19698","SANTANDER DE QUILICHAO","0.005","KILOGRAMO"
"2025-11-04T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.02","KILOGRAMO"
"2025-11-01T00:00:00.000","50","META","50590","PUERTO RICO","0.186","KILOGRAMO"
"2025-10-31T00:00:00.000","19","CAUCA","19450","MERCADERES","3.847","KILOGRAMO"
"2025-10-31T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","1.5","KILOGRAMO"
"2025-10-29T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.01","KILOGRAMO"
"2025-10-29T00:00:00.000","52","NARIÑO","52001","PASTO","0.02","KILOGRAMO"
"2025-10-28T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.007","KILOGRAMO"
"2025-10-28T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.045","KILOGRAMO"
"2025-10-27T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0043","KILOGRAMO"
"2025-10-26T00:00:00.000","54","NORTE DE SANTANDER","54518","PAMPLONA","0.0828","KILOGRAMO"
"2025-10-25T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0201","KILOGRAMO"
"2025-10-24T00:00:00.000","52","NARIÑO","52687","SAN LORENZO","0.005","KILOGRAMO"
"2025-10-23T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.136","KILOGRAMO"
"2025-10-20T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.0014","KILOGRAMO"
"2025-10-19T00:00:00.000","63","QUINDIO","63548","PIJAO","0.0015","KILOGRAMO"
"2025-10-15T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.28","KILOGRAMO"
"2025-10-15T00:00:00.000","21801","ECUADOR","2180101","ECUADOR","1.881","KILOGRAMO"
"2025-10-14T00:00:00.000","66","RISARALDA","66001","PEREIRA","0.01","KILOGRAMO"
"2025-10-14T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.0379","KILOGRAMO"
"2025-10-12T00:00:00.000","05","ANTIOQUIA","05360","ITAGUI","0.0235","KILOGRAMO"
"2025-10-12T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.03","KILOGRAMO"
"2025-10-10T00:00:00.000","50","META","50001","VILLAVICENCIO","0.003","KILOGRAMO"
"2025-10-10T00:00:00.000","63","QUINDIO","63001","ARMENIA","0.00081","KILOGRAMO"
"2025-10-10T00:00:00.000","52","NARIÑO","52378","LA CRUZ","0.008","KILOGRAMO"
"2025-10-09T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.003","KILOGRAMO"
"2025-10-08T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.0187","KILOGRAMO"
"2025-10-08T00:00:00.000","17","CALDAS","17088","BELALCAZAR","1.995","KILOGRAMO"
"2025-10-08T00:00:00.000","05","ANTIOQUIA","05129","CALDAS","0.008","KILOGRAMO"
"2025-10-07T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.008","KILOGRAMO"
"2025-10-07T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.001","KILOGRAMO"
"2025-10-06T00:00:00.000","52","NARIÑO","52786","TAMINANGO","0.015","KILOGRAMO"
"2025-10-05T00:00:00.000","19","CAUCA","19698","SANTANDER DE QUILICHAO","0.504","KILOGRAMO"
"2025-10-02T00:00:00.000","66","RISARALDA","66170","DOSQUEBRADAS","0.136","KILOGRAMO"
